de-word,de-sentence,en-word,en-sentence
beendet,Die Umfrage ist beendet.,closed,The survey is now closed.
Behörde,An welche Behörde muss ich mich wenden?,authority,Which authority do I need to contact?
Voraussetzungen,Die Voraussetzungen müssen erfüllt sein.,requirements,The requirements must be met.
Gefängnis,Das Gefängnis wurde 1974 für immer geschlossen.,prison,The prison was permanently closed in 1974.
Erhöhung,Was ist der Grund für die Erhöhung der Preise?,increase,What is the reason for the price increase?
Spur,"Um den Bären zu finden, mussten wir seiner Spur folgen.",track,"To find the bear, we had to follow its tracks."
verhindern,Jens hätte den Streit verhindern sollen.,impede,Jens should have prevented the argument.
überzeugt,Hat Sie das überzeugt?,convinced,Has that convinced you?
Umfeld,Wir arbeiten in einem internationalen Umfeld.,Environment,We work in an international environment.
